# taue, taui, alpha, speed, gei, gii, tauC, r_tot, r_psd, r_sp, sub, flag, status, success
7.173950318751283639e+00,3.564534584210785084e+01,1.000000000000000000e+00,9.819629818092695528e-01,1.304437731580494475e+00,5.661062646946618315e+00,1.313819702724592631e+01,1.575985322321690418e+00,8.995868139212594983e-01,6.763985084004308090e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.444819306717744567e+01,2.790028034864865703e+01,1.000000000000000000e+00,9.615541642355419916e-02,1.580574483044730139e+00,7.814509323862246504e+00,1.063048454291049083e+01,1.610245463053967541e+00,8.810427770729611918e-01,7.292026859810064598e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.082229301147101630e+01,1.580776872611800776e+01,1.000000000000000000e+00,7.582145157143486969e-02,2.365244031565563176e+00,4.438514834384420737e+00,1.258930650984546240e+01,1.655089559343017047e+00,9.188053038706360809e-01,7.362842554723809663e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.001050794933499866e+01,6.152862431688353695e+01,1.000000000000000056e-01,1.184155285026462223e-01,9.105452269214993066e+00,1.000000000000000000e+01,1.860547452668485491e+01,1.570789243157860060e+00,8.691459389695340709e-01,7.016433041883258781e-01,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.690071399506215144e+01,1.524583423917270153e+01,1.000000000000000000e+00,3.096844925141079230e+00,3.171695228845450742e+00,6.535131227118841757e+00,1.026733546133793595e+01,1.574141492709590473e+00,8.458361329565921016e-01,7.283053597529982603e-01,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.954361790422544232e+01,5.447400019556831730e+00,1.000000000000000000e+00,7.205499435331654823e-01,6.376367358539827279e+00,9.064894576129283621e+00,8.797112291577914078e+00,1.616736984556439438e+00,9.178868842140687212e-01,6.988501003423697178e-01,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.665545682814572004e+01,5.100418764417004525e+01,1.000000000000000000e+00,3.074429763481755784e-01,2.881396840142591564e+00,8.372482754210613720e+00,1.502977100317528780e+01,1.534565844398087187e+00,9.141543994409458973e-01,6.204114449571412893e-01,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.802944643037556460e+01,6.035132882283957656e+01,9.486438082101857905e-01,4.432078400617465302e-02,4.092979390365782066e+00,8.662954411255334719e+00,1.326101313392057079e+01,1.575413555210428473e+00,8.775030278621868129e-01,6.979105273482417715e-01,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.915730254808619470e+00,2.491846753568013995e+01,9.999747949105839417e-01,8.701323307937205986e-02,1.218816060466922258e+00,1.227320514719987932e+00,1.155863893757156902e+01,1.641008541102035423e+00,8.990145296301008671e-01,7.419940114719345559e-01,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.375774060919274255e+01,1.886931425989578770e+01,3.999962926688628295e-01,5.177306536716270308e-02,1.293188442331540733e+00,8.781262734345811616e-01,1.930769245204812279e+01,1.674919212118688217e+00,8.821630835434308704e-01,7.927561285752573461e-01,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.808002816953575120e+00,4.160836284501790772e+01,9.989003354382400834e-01,6.196808605035651896e-01,8.507343633160514784e+00,4.141955857192032298e+00,1.337817356547766501e+01,1.630490417845911644e+00,9.008908302104002841e-01,7.295995876355112486e-01,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.286375769494832966e+01,5.003543405479407902e+00,9.960182455066776130e-01,1.903600140894264048e-02,7.646758976943601738e+00,7.450302726236825102e+00,1.062697868343868457e+01,1.623195463221716928e+00,8.971949106150772790e-01,7.260005526066397596e-01,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.754727940670425568e+01,3.846181431514258264e+01,9.935393534859526810e-01,1.282637476536972569e-02,1.861375512326940873e+00,6.281561031488362978e+00,6.990856913164805064e+00,1.569504606670641733e+00,9.182753216751869951e-01,6.512292849954547380e-01,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.119254012768817752e+01,1.850550148265458716e+01,7.770440382958245795e-01,9.954810246825931963e-02,7.661053706703500055e-01,6.457475029444262660e+00,2.114684643302187084e+01,1.672989217298842757e+00,9.157073329961861186e-01,7.572818843026565272e-01,1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.845187862820962366e+01,6.194707781582943085e+01,9.263547163745788904e-01,6.896292784282110899e-01,3.739021835811200845e+00,8.678480898600646753e+00,1.382069980503803208e+01,1.531219215245409604e+00,8.792780402933182415e-01,6.519411749520913624e-01,1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.060032921613465717e+01,2.030046172764147272e+01,1.000000000000000000e+00,8.371439671742836319e-02,3.414083809940750669e+00,7.804866602534256792e+00,1.500546511275516970e+01,1.671548354641382739e+00,8.952755531689429169e-01,7.762728014724398218e-01,1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.920531837723031998e+01,7.175987650011472851e+01,1.000000000000000000e+00,9.906293186975176357e-02,4.948600218310407861e+00,9.881839693676498726e+00,9.712952425788049737e+00,1.675121063144220379e+00,9.027830138100593205e-01,7.723380493341609476e-01,1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.954637214487727093e+01,2.615509009177141309e+01,1.000000000000000000e+00,3.580608227699705881e-01,5.000000000000000000e-01,9.554059549990553180e+00,1.503132154617783200e+01,1.591392589072304631e+00,9.112892590359460421e-01,6.801033300363584777e-01,1.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.219354328008147448e+01,1.649375234143120039e+01,1.000000000000000000e+00,7.665989098177670991e-02,5.379869027618447985e-01,8.386001666380170860e+00,1.142113615827181405e+01,1.558595679841814352e+00,8.676738489156128331e-01,6.909218309262015190e-01,1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.812690668604409083e+00,1.992301554649203865e+02,1.927981284154001718e-01,1.557496697724019934e-02,5.828164020323701067e+00,7.471482571843572895e-01,1.458949609933501357e+01,1.592785396947939525e+00,9.019700561385248783e-01,6.908153408094147574e-01,1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.208301508528806956e+01,2.046030232121073666e+01,2.453405750631782178e-01,9.837710339282079719e-02,1.891628915025970858e+00,8.528569672660628598e+00,2.955103866046738759e+01,1.610052193750157068e+00,9.278151758444896924e-01,6.822370179056673756e-01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.056474726732189495e+01,1.034915509137537555e+02,1.003931912306013224e-01,1.033180425673634745e-01,9.063357180405304803e+00,9.953826503438714113e+00,6.810857998074603792e+00,1.541960671875663991e+00,8.481220241365319268e-01,6.938386477391320639e-01,2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.690148180988109772e+01,6.262407713737018611e+01,2.475756612234377152e-01,5.796851667971046618e-02,4.756666962416429278e+00,9.771906444429268035e+00,7.217388207296767888e+00,1.621445550529499124e+00,9.071286965822383808e-01,7.143168539472607437e-01,2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.032739256334007649e+01,1.989501439859632015e+01,9.818617147888313301e-01,1.024639164354133741e-01,2.241838955200806893e+00,5.991472321452894434e+00,2.574939384751090543e+01,1.634258190462831273e+00,9.142470614961571984e-01,7.200111289666741854e-01,2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.358189115137951042e+00,2.776247812137938809e+01,1.000000000000000000e+00,8.729939087510331375e-02,1.338768695433509848e+00,2.534365225272031452e+00,8.877422758854127238e+00,1.587550165421920401e+00,7.866552006879786729e-01,8.008949647339416167e-01,2.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.968055719072266641e+01,2.726090746229580475e+01,1.000000000000000000e+00,3.146073567968328821e-01,4.556130340461375994e+00,8.199636940071878044e+00,1.432491547792734110e+01,1.582409606589517903e+00,8.655074072414544739e-01,7.169021993480635402e-01,2.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.060129723230249255e+01,6.070024695343132493e+01,9.820144964145982591e-01,1.122604985209464147e-02,2.723237874448058093e+00,9.265173106062844610e+00,8.404838898345436959e+00,1.640148812701735181e+00,9.093602797416051597e-01,7.307885329601300217e-01,2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.620462558769868266e+01,1.769911695648918126e+01,1.000000000000000000e+00,8.706001336030635973e-02,6.169872132811292653e-01,7.399193314503440533e+00,1.399280995576212838e+01,1.521501821443847158e+00,9.033378004170627973e-01,6.181640210267843605e-01,2.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.115282133090471461e+01,1.657527599296861709e+01,8.011798146748631000e-01,7.647022748087567434e-02,5.401513921361432713e-01,6.247586192243652192e+00,1.213981436899345567e+01,1.581390220885088738e+00,8.954043849363567675e-01,6.859858359487320811e-01,2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.690861472850570379e+01,2.640384250478502182e+01,1.068763462753295757e-01,1.764413970180965519e-02,6.116356719842901413e-01,6.768367987482187154e+00,2.969714444449891744e+01,1.638391694140093779e+00,9.322084654016491445e-01,7.061832287384446349e-01,2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.905113824261265520e+00,5.846835165335896534e+01,1.000000000000000056e-01,9.884728714306856290e-02,5.801825605585062551e-01,4.377140446317672406e+00,1.630526035297354426e+01,1.686472888862655672e+00,9.357053966402775202e-01,7.507674922223780412e-01,3.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.246846076208831811e+00,5.842261954030158932e+01,1.000000000000000000e+00,1.307652028520475511e-02,5.127090587955240863e-01,4.615237664391949934e+00,1.169677121796208219e+01,1.563900897024961711e+00,8.949750319538645194e-01,6.689258650710970810e-01,3.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.926070372766858441e+00,2.453697701637669226e+01,1.000000000000000000e+00,4.762410020643794262e+00,1.102636297004772059e+00,9.045095575813258959e-01,1.354701509038931206e+01,1.545818302880153094e+00,8.649017570074287731e-01,6.809165458727244324e-01,3.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.529081821599052482e+00,8.021016842029720806e+01,1.000000000000000000e+00,9.789633556399737757e-02,1.050309001197261560e+00,9.630106590864793148e+00,1.521986210857548905e+01,1.681452997743466238e+00,9.050079237667749688e-01,7.764450739766912690e-01,3.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.849811859375292400e+01,5.002868996421636183e+00,9.898430972083507307e-01,5.849359410363231399e-02,5.830882036036901361e+00,8.900150220357758712e+00,1.481730301357185731e+01,1.669915185660826307e+00,8.869249165735590967e-01,7.829902690872670989e-01,3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.016679395436636923e+01,5.316116175215164930e+01,8.451076925354935598e-01,7.210847827387741882e-01,1.559967737337065730e+00,5.432535581053006268e+00,1.394843943308125489e+01,1.640768193284066090e+00,8.923332799558834072e-01,7.484349133281826827e-01,3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
